"any_single","deskmate","sim_s1_s2","girl_s1","girl_s2","roma_s1","roma_s2","gpa_s1","gpa_s2","friend","friend_s1","friend_s2","girl_match","roma_match","mean_gpa","diff_gpa","sim_s1_s2_std","size","size","gendermatch","class_id","school_id","s1","s2"
0,0,0.97,0,0,0,0,4.6,4.6,1,1,1,"0","0",4.6,0,1.15063964920133,"11",11,1,60130,32,766901,249409
0,0,0.986666666666667,0,0,0,0,4.6,4.8,1,1,1,"0","0",4.7,0.2,1.22395849014922,"11",11,1,60130,32,766901,511776
0,0,0.986666666666667,0,0,0,0,4.6,4.8,0,0,1,"0","0",4.7,0.2,1.22395849014922,"11",11,1,60130,32,766901,807841
0,0,0.623333333333333,0,1,0,0,4.6,4.4,0,0,1,"1","0",4.5,0.199999999999999,-0.374392242514689,"11",11,0,60130,32,766901,539057
0,0,0.623333333333333,0,1,0,0,4.6,4,0,0,0,"1","0",4.3,0.6,-0.374392242514689,"11",11,0,60130,32,766901,208872
1,0,0.636666666666667,0,1,0,0,4.6,4.6,0,0,1,"1","0",4.6,0,-0.315737169756381,"11",11,0,60130,32,766901,339139
0,1,0.59,0,1,0,0,3.2,3.8,0,1,0,"1","0",3.5,0.6,-0.521029924410461,"11",11,0,60130,32,394301,259466
0,0,0.533333333333334,0,1,0,0,3.2,5,0,0,0,"1","0",4.1,1.8,-0.770313983633271,"11",11,0,60130,32,394301,942614
0,0,0.893333333333334,0,0,0,0,3.2,4.6,0,0,0,"0","0",3.9,1.4,0.813372980841061,"11",11,1,60130,32,394301,249409
0,0,0.883333333333333,0,0,0,0,3.2,4.8,0,0,0,"0","0",4,1.6,0.769381676272329,"11",11,1,60130,32,394301,511776
0,0,0.883333333333333,0,0,0,0,3.2,4.8,0,0,0,"0","0",4,1.6,0.769381676272329,"11",11,1,60130,32,394301,807841
0,0,0.573333333333333,0,1,0,0,3.2,4.4,0,0,0,"1","0",3.8,1.2,-0.594348765358346,"11",11,0,60130,32,394301,539057
0,0,0.606666666666667,0,1,0,0,3.2,4,0,0,0,"1","0",3.6,0.8,-0.447711083462574,"11",11,0,60130,32,394301,208872
1,0,0.566666666666667,0,1,0,0,3.2,4.6,0,0,0,"1","0",3.9,1.4,-0.6236763017375,"11",11,0,60130,32,394301,339139
